CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.203,9.8088,0
1.2033,9.7573,0
1.2029,9.6995,0
1.2025,9.5157,0
1.2023,9.6198,0
1.2025,9.6535,0
1.2032,9.7542,0
1.2034,9.7262,0
1.2033,9.8735,0
1.2026,10.1226,0
1.2027,10.3084,0
1.2033,10.5036,0
1.2026,10.4505,0
1.2025,10.5276,0
1.2035,10.6294,0
1.2034,10.5489,0
1.2038,10.3257,0
1.2019,10.2789,0
1.2026,10.4456,0
1.2026,10.6329,0
1.2031,10.5023,0
1.2033,10.6574,0
1.2024,10.7333,0
1.2035,10.7253,0
1.2031,10.7651,0
1.2035,10.7751,0
1.203,10.7204,0
1.2023,10.9138,0
1.2026,10.8547,0
1.2025,11.0198,0
1.2027,10.8029,0
1.2031,10.7374,0
1.2032,10.6093,0
1.2033,10.5938,0
1.2035,10.664,0
1.2032,10.5462,0
1.2033,10.4582,0
1.2029,10.4227,0
1.2023,10.3564,0
1.2027,10.2745,0
1.2027,10.4653,0
1.203,10.354,0
1.2025,10.3499,0
1.2029,10.4459,0
1.2028,10.5662,0
1.2027,10.5531,0
1.203,10.5822,0
1.2036,10.673,0
1.2033,10.6165,0
1.2031,10.5849,0
1.2032,10.8066,0
1.2037,10.6249,0
1.2025,10.4602,0
1.2029,10.5265,0
1.2025,10.5784,0
1.2032,10.6516,0
1.2028,10.6785,0
1.2023,10.7634,0
1.2028,10.6356,0
1.2027,10.6529,0
1.2027,10.6063,0
1.2026,10.5494,0
1.202,10.3535,0
1.2026,10.2319,0
1.2031,10.3146,0
1.203,10.4118,0
1.2025,10.4129,0
1.2025,10.4769,0
1.2027,10.6494,0
1.2028,10.9115,0
1.2025,10.9921,0
1.2025,10.9411,0
1.2022,10.9097,0
1.203,10.9679,0
1.2029,10.9286,0
1.2024,10.8637,0
1.2031,11.0412,0
1.2026,11.1079,0
1.2022,11.0777,0
1.2028,10.7796,0
1.2023,10.6299,0
1.2029,10.6864,0
1.2033,10.6891,0
1.2034,10.5622,0
1.2032,10.3507,0
1.2029,10.2357,0
1.203,10.0947,0
1.2032,10.011,0
1.2032,9.8601,0
1.2031,9.7701,0
1.2034,9.8765,0
1.2026,9.9476,0
1.2027,10.1097,0
1.2027,10.3167,0
1.2025,10.4277,0
1.2028,10.5808,0
1.203,10.5874,0
1.2033,10.6906,0
1.2039,10.6358,0
1.2031,10.6921,0
1.2033,10.6926,0
1.2023,10.6883,0
1.2026,10.579,0
1.2022,10.4294,0
1.2029,10.4829,0
1.203,10.4919,0
1.2034,10.5284,0
1.2027,10.566,0
1.2023,10.6012,0
1.2028,10.4907,0
1.2022,10.4551,0
1.2029,10.4675,0
1.2023,10.3136,0
1.2031,10.3192,0
1.2031,10.3593,0
1.2029,10.248,0
1.2023,10.2066,0
1.2025,10.3824,0
1.2027,10.3288,0
1.2031,10.2205,0
1.2033,10.3983,0
1.2032,10.468,0
1.2034,10.4055,0
1.2033,10.4416,0
1.2026,10.2192,0
1.2025,10.3278,0
1.2025,10.2659,0
1.2029,10.2026,0
1.2033,10.1869,0
1.2033,10.3059,0
1.2026,10.3084,0
1.2025,10.2687,0
1.2026,10.2996,0
1.2027,10.1791,0
1.2026,10.142,0
1.2031,10.4143,0
1.203,10.4862,0
1.2024,10.5756,0
1.2029,10.6182,0
1.2027,10.5703,0
1.2032,10.4296,0
1.2031,10.5325,0
1.2036,10.4123,0
1.2033,10.2647,0
1.2031,10.3862,0
1.2025,10.3421,0
1.2028,10.3392,0
1.2019,10.3111,0
1.2031,10.4922,0
